ID,label,weight_gr,color,season,origin
banana_151,Banana,149,Yellow,Spring,Costa Rica
banana_152,Banana,129,Green,Spring,Brazil
banana_153,Banana,122,Green,Spring,Brazil
banana_154,Banana,150,Green,Spring,Costa Rica
banana_155,Banana,149,Brown,Spring,Spain
banana_156,Banana,133,Yellow,Summer,Brazil
banana_157,Banana,129,Yellow,Spring,Costa Rica
banana_158,Banana,103,Yellow,Fall,Turkey
banana_159,Banana,119,Yellow,Fall,Costa Rica
banana_160,Banana,112,Yellow,Winter,Brazil
banana_161,Banana,146,Yellow,Spring,Brazil
banana_162,Banana,115,Yellow,Summer,Ecuador
banana_163,Banana,102,Yellow,Summer,Brazil
banana_164,Banana,150,Green,Spring,Spain
banana_165,Banana,121,Yellow,Summer,Ecuador
banana_166,Banana,125,Yellow,Summer,Brazil
banana_167,Banana,126,Green,Summer,Brazil
banana_168,Banana,146,Yellow,Fall,Costa Rica
banana_169,Banana,116,Yellow,Summer,Brazil
banana_170,Banana,114,Yellow,Fall,Costa Rica
banana_171,Banana,127,Yellow,Winter,Ecuador
banana_172,Banana,113,Yellow,Spring,Costa Rica
banana_173,Banana,122,Yellow,Summer,Costa Rica
banana_174,Banana,137,Yellow,Spring,Ecuador
banana_175,Banana,136,Yellow,Summer,Ecuador
banana_176,Banana,121,Yellow,Spring,Costa Rica
banana_177,Banana,119,Yellow,Summer,Turkey
banana_178,Banana,117,Yellow,Summer,Costa Rica
banana_179,Banana,107,Yellow,Spring,Brazil
banana_180,Banana,136,Yellow,Spring,Brazil
banana_181,Banana,144,Yellow,Spring,Brazil
banana_182,Banana,120,Yellow,Winter,Ecuador
banana_183,Banana,110,Yellow,Summer,Ecuador
banana_184,Banana,108,Yellow,Fall,Ecuador
banana_185,Banana,135,Yellow,Spring,Brazil
banana_186,Banana,110,Brown,Fall,Brazil
banana_187,Banana,137,Green,Fall,Ecuador
banana_188,Banana,107,Yellow,Winter,Brazil
banana_189,Banana,125,Yellow,Fall,Ecuador
banana_190,Banana,148,Yellow,Spring,Brazil
banana_191,Banana,137,Yellow,Fall,Costa Rica
banana_192,Banana,142,Yellow,Summer,Brazil
banana_193,Banana,104,Yellow,Summer,Brazil
banana_194,Banana,101,Yellow,Winter,Brazil
banana_195,Banana,108,Yellow,Summer,Ecuador
banana_196,Banana,129,Yellow,Spring,Brazil
banana_197,Banana,149,Yellow,Fall,Costa Rica
banana_198,Banana,111,Yellow,Fall,Turkey
banana_199,Banana,128,Yellow,Winter,Costa Rica
banana_200,Banana,129,Yellow,Fall,Ecuador
banana_201,Banana,113,Green,Summer,Ecuador
banana_202,Banana,124,Yellow,Summer,Turkey
banana_203,Banana,131,Yellow,Spring,Costa Rica
banana_204,Banana,114,Yellow,Summer,Costa Rica
banana_205,Banana,101,Yellow,Summer,Brazil
banana_206,Banana,150,Yellow,Winter,Costa Rica
banana_207,Banana,141,Yellow,Summer,Costa Rica
banana_208,Banana,129,Yellow,Fall,Costa Rica
banana_209,Banana,132,Green,Fall,Ecuador
banana_210,Banana,103,Green,Fall,Ecuador
banana_211,Banana,132,Yellow,Fall,Turkey
banana_212,Banana,144,Yellow,Spring,Brazil
banana_213,Banana,104,Yellow,Summer,Costa Rica
banana_214,Banana,126,Yellow,Spring,Costa Rica
banana_215,Banana,142,Yellow,Spring,Brazil
banana_216,Banana,139,Yellow,Fall,Spain
banana_217,Banana,145,Yellow,Spring,Brazil
banana_218,Banana,117,Yellow,Winter,Ecuador
banana_219,Banana,111,Yellow,Summer,Turkey
banana_220,Banana,136,Yellow,Winter,Costa Rica
banana_221,Banana,108,Green,Summer,Brazil
banana_222,Banana,121,Yellow,Fall,Turkey
banana_223,Banana,125,Brown,Summer,Ecuador
banana_224,Banana,150,Green,Summer,Turkey
banana_225,Banana,108,Yellow,Summer,Ecuador
banana_226,Banana,134,Yellow,Fall,Costa Rica
banana_227,Banana,101,Yellow,Spring,Turkey
banana_228,Banana,142,Yellow,Spring,Turkey
banana_229,Banana,124,Yellow,Winter,Ecuador
banana_230,Banana,148,Yellow,Spring,Turkey
banana_231,Banana,149,Green,Summer,Ecuador
banana_232,Banana,148,Yellow,Summer,Spain
banana_233,Banana,139,Yellow,Fall,Brazil
banana_234,Banana,122,Yellow,Spring,Ecuador
banana_235,Banana,129,Yellow,Fall,Brazil
banana_236,Banana,139,Yellow,Summer,Brazil
banana_237,Banana,149,Yellow,Summer,Costa Rica
banana_238,Banana,137,Yellow,Spring,Brazil
banana_239,Banana,138,Green,Summer,Brazil
banana_240,Banana,133,Green,Summer,Turkey
banana_241,Banana,149,Yellow,Summer,Ecuador
banana_242,Banana,102,Green,Spring,Brazil
banana_243,Banana,146,Yellow,Spring,Ecuador
banana_244,Banana,107,Yellow,Fall,Brazil
banana_245,Banana,145,Yellow,Summer,Costa Rica
banana_246,Banana,120,Green,Summer,Costa Rica
banana_247,Banana,109,Yellow,Summer,Ecuador
banana_248,Banana,118,Yellow,Summer,Ecuador
banana_249,Banana,146,Yellow,Spring,Turkey
banana_250,Banana,102,Yellow,Summer,Costa Rica
banana_251,Banana,137,Yellow,Summer,Costa Rica
banana_252,Banana,134,Green,Summer,Turkey
banana_253,Banana,109,Brown,Fall,Ecuador
banana_254,Banana,131,Yellow,Winter,Brazil
banana_255,Banana,139,Yellow,Summer,Ecuador
banana_256,Banana,121,Yellow,Spring,Ecuador
banana_257,Banana,144,Green,Winter,Brazil
banana_258,Banana,120,Yellow,Spring,Costa Rica
banana_259,Banana,136,Green,Spring,Ecuador
banana_260,Banana,141,Yellow,Fall,Ecuador
banana_261,Banana,126,Yellow,Summer,Ecuador
banana_262,Banana,106,Yellow,Spring,Costa Rica
banana_263,Banana,145,Yellow,Fall,Brazil
banana_264,Banana,150,Yellow,Summer,Costa Rica
banana_265,Banana,110,Yellow,Fall,Ecuador
banana_266,Banana,138,Yellow,Summer,Costa Rica
banana_267,Banana,123,Yellow,Winter,Brazil
banana_268,Banana,135,Brown,Fall,Ecuador
banana_269,Banana,116,Yellow,Summer,Costa Rica
banana_270,Banana,125,Yellow,Spring,Brazil
banana_271,Banana,100,Yellow,Summer,Brazil
banana_272,Banana,138,Yellow,Spring,Brazil
banana_273,Banana,150,Yellow,Summer,Ecuador
banana_274,Banana,143,Yellow,Spring,Brazil
banana_275,Banana,148,Green,Winter,Costa Rica
banana_276,Banana,107,Yellow,Spring,Turkey
banana_277,Banana,115,Yellow,Fall,Costa Rica
banana_278,Banana,114,Green,Summer,Brazil
banana_279,Banana,131,Yellow,Summer,Costa Rica
banana_280,Banana,120,Green,Winter,Ecuador
banana_281,Banana,106,Yellow,Summer,Ecuador
banana_282,Banana,122,Yellow,Winter,Spain
banana_283,Banana,134,Green,Fall,Ecuador
banana_284,Banana,130,Yellow,Fall,Ecuador
banana_285,Banana,102,Yellow,Spring,Brazil
banana_286,Banana,143,Yellow,Summer,Costa Rica
banana_287,Banana,121,Yellow,Fall,Brazil
banana_288,Banana,141,Yellow,Spring,Turkey
banana_289,Banana,133,Green,Spring,Brazil
banana_290,Banana,131,Yellow,Fall,Brazil
banana_291,Banana,128,Brown,Summer,Ecuador
banana_292,Banana,115,Green,Spring,Brazil
banana_293,Banana,124,Green,Winter,Costa Rica
banana_294,Banana,148,Yellow,Spring,Costa Rica
banana_295,Banana,103,Yellow,Summer,Ecuador
banana_296,Banana,145,Green,Spring,Ecuador
banana_297,Banana,103,Yellow,Summer,Brazil
banana_298,Banana,142,Yellow,Winter,Costa Rica
banana_299,Banana,123,Yellow,Winter,Turkey
banana_300,Banana,103,Yellow,Spring,Ecuador
banana_301,Banana,150,Yellow,Winter,Costa Rica
banana_302,Banana,125,Yellow,Summer,Ecuador
banana_303,Banana,104,Yellow,Winter,Costa Rica
banana_304,Banana,134,Yellow,Winter,Turkey
banana_305,Banana,134,Yellow,Spring,Ecuador
banana_306,Banana,131,Green,Spring,Ecuador
banana_307,Banana,124,Yellow,Spring,Costa Rica
banana_308,Banana,140,Yellow,Spring,Ecuador
banana_309,Banana,102,Yellow,Summer,Brazil
banana_310,Banana,139,Brown,Fall,Costa Rica
banana_311,Banana,114,Brown,Fall,Ecuador
banana_312,Banana,117,Yellow,Spring,Ecuador
banana_313,Banana,104,Yellow,Summer,Costa Rica
banana_314,Banana,128,Brown,Summer,Turkey
banana_315,Banana,139,Brown,Spring,Costa Rica
banana_316,Banana,118,Yellow,Summer,Turkey
banana_317,Banana,147,Green,Summer,Ecuador
banana_318,Banana,141,Green,Fall,Costa Rica
banana_319,Banana,104,Yellow,Spring,Ecuador
banana_320,Banana,122,Green,Fall,Ecuador
banana_321,Banana,138,Yellow,Fall,Ecuador
banana_322,Banana,128,Yellow,Fall,Costa Rica
banana_323,Banana,126,Yellow,Summer,Ecuador
banana_324,Banana,123,Brown,Spring,Ecuador
banana_325,Banana,106,Green,Summer,Ecuador
banana_326,Banana,114,Yellow,Winter,Brazil
banana_327,Banana,131,Brown,Summer,Turkey
banana_328,Banana,111,Green,Winter,Ecuador
banana_329,Banana,125,Yellow,Spring,Brazil
banana_330,Banana,146,Yellow,Fall,Spain
banana_331,Banana,111,Brown,Fall,Ecuador
banana_332,Banana,114,Yellow,Summer,Brazil
banana_333,Banana,133,Green,Summer,Ecuador
banana_334,Banana,112,Yellow,Winter,Brazil
banana_335,Banana,110,Green,Spring,Costa Rica
banana_336,Banana,121,Yellow,Summer,Costa Rica
banana_337,Banana,127,Yellow,Fall,Spain
banana_338,Banana,119,Green,Winter,Turkey
banana_339,Banana,100,Yellow,Summer,Spain
banana_340,Banana,134,Yellow,Fall,Costa Rica
banana_341,Banana,114,Yellow,Spring,Brazil
banana_342,Banana,124,Yellow,Spring,Ecuador
banana_343,Banana,145,Green,Fall,Costa Rica
banana_344,Banana,143,Yellow,Summer,Costa Rica
banana_345,Banana,145,Yellow,Winter,Costa Rica
banana_346,Banana,143,Yellow,Summer,Brazil
banana_347,Banana,121,Yellow,Spring,Ecuador
banana_348,Banana,110,Yellow,Summer,Costa Rica
banana_349,Banana,129,Brown,Summer,Brazil
banana_350,Banana,131,Yellow,Spring,Costa Rica
banana_351,Banana,140,Yellow,Fall,Spain
banana_352,Banana,116,Yellow,Spring,Ecuador
banana_353,Banana,121,Yellow,Spring,Ecuador
banana_354,Banana,149,Yellow,Summer,Costa Rica
banana_355,Banana,112,Yellow,Spring,Ecuador
banana_356,Banana,138,Yellow,Fall,Brazil
banana_357,Banana,149,Yellow,Spring,Costa Rica
banana_358,Banana,139,Green,Summer,Costa Rica
banana_359,Banana,105,Yellow,Fall,Ecuador
banana_360,Banana,111,Yellow,Spring,Ecuador
banana_361,Banana,146,Green,Fall,Costa Rica
banana_362,Banana,103,Green,Summer,Turkey
banana_363,Banana,140,Yellow,Fall,Brazil
banana_364,Banana,111,Yellow,Spring,Costa Rica
banana_365,Banana,118,Yellow,Summer,Turkey
banana_366,Banana,131,Brown,Summer,Ecuador
banana_367,Banana,121,Yellow,Spring,Costa Rica
banana_368,Banana,127,Yellow,Spring,Brazil
banana_369,Banana,114,Yellow,Spring,Ecuador
banana_370,Banana,130,Yellow,Spring,Turkey
banana_371,Banana,127,Yellow,Fall,Costa Rica
banana_372,Banana,148,Yellow,Winter,Ecuador
banana_373,Banana,133,Yellow,Spring,Ecuador
banana_374,Banana,105,Yellow,Fall,Turkey
banana_375,Banana,111,Yellow,Winter,Ecuador
banana_376,Banana,132,Yellow,Spring,Costa Rica
banana_377,Banana,122,Yellow,Fall,Turkey
banana_378,Banana,136,Yellow,Summer,Brazil
banana_379,Banana,146,Green,Spring,Ecuador
banana_380,Banana,138,Yellow,Spring,Costa Rica
banana_381,Banana,101,Yellow,Summer,Spain
banana_382,Banana,111,Green,Summer,Brazil
banana_383,Banana,110,Yellow,Winter,Brazil
banana_384,Banana,128,Green,Spring,Brazil
banana_385,Banana,119,Yellow,Fall,Brazil
banana_386,Banana,119,Yellow,Winter,Ecuador
banana_387,Banana,111,Yellow,Spring,Brazil
banana_388,Banana,127,Yellow,Fall,Costa Rica
banana_389,Banana,119,Green,Spring,Brazil
banana_390,Banana,119,Yellow,Summer,Brazil
banana_391,Banana,136,Yellow,Spring,Ecuador
banana_392,Banana,113,Brown,Summer,Brazil
banana_393,Banana,142,Yellow,Summer,Brazil
banana_394,Banana,138,Yellow,Summer,Spain
banana_395,Banana,143,Yellow,Spring,Brazil
banana_396,Banana,115,Yellow,Summer,Ecuador
banana_397,Banana,120,Brown,Fall,Ecuador
banana_398,Banana,104,Yellow,Spring,Brazil
banana_399,Banana,125,Brown,Summer,Costa Rica
banana_400,Banana,125,Yellow,Summer,Ecuador
banana_401,Banana,107,Green,Spring,Ecuador
banana_402,Banana,130,Green,Winter,Costa Rica
banana_403,Banana,125,Yellow,Summer,Costa Rica
banana_404,Banana,108,Yellow,Summer,Costa Rica
banana_405,Banana,112,Green,Winter,Costa Rica
banana_406,Banana,137,Yellow,Summer,Costa Rica
banana_407,Banana,117,Yellow,Spring,Costa Rica
banana_408,Banana,100,Green,Summer,Turkey
banana_409,Banana,114,Yellow,Spring,Ecuador
banana_410,Banana,118,Yellow,Spring,Brazil
banana_411,Banana,148,Yellow,Spring,Ecuador
banana_412,Banana,107,Yellow,Summer,Brazil
banana_413,Banana,102,Yellow,Spring,Brazil
banana_414,Banana,127,Yellow,Winter,Costa Rica
banana_415,Banana,133,Yellow,Summer,Brazil
banana_416,Banana,142,Yellow,Summer,Brazil
banana_417,Banana,142,Green,Fall,Costa Rica
banana_418,Banana,146,Yellow,Summer,Ecuador
banana_419,Banana,150,Yellow,Winter,Costa Rica
banana_420,Banana,133,Yellow,Winter,Brazil
banana_421,Banana,145,Yellow,Spring,Brazil
banana_422,Banana,115,Yellow,Fall,Brazil
banana_423,Banana,112,Yellow,Fall,Brazil
banana_424,Banana,130,Yellow,Summer,Ecuador
banana_425,Banana,148,Green,Fall,Ecuador
banana_426,Banana,103,Yellow,Summer,Spain
banana_427,Banana,144,Yellow,Fall,Brazil
banana_428,Banana,120,Yellow,Winter,Costa Rica
banana_429,Banana,109,Green,Summer,Ecuador
banana_430,Banana,123,Yellow,Summer,Turkey
banana_431,Banana,149,Yellow,Summer,Costa Rica
banana_432,Banana,124,Green,Fall,Costa Rica
banana_433,Banana,149,Yellow,Spring,Brazil
banana_434,Banana,132,Yellow,Summer,Turkey
banana_435,Banana,114,Yellow,Summer,Ecuador
banana_436,Banana,108,Yellow,Summer,Costa Rica
banana_437,Banana,101,Yellow,Spring,Brazil
banana_438,Banana,141,Yellow,Spring,Costa Rica
banana_439,Banana,138,Yellow,Fall,Costa Rica
banana_440,Banana,137,Yellow,Fall,Costa Rica
banana_441,Banana,139,Yellow,Summer,Ecuador
banana_442,Banana,132,Yellow,Spring,Brazil
banana_443,Banana,148,Yellow,Summer,Ecuador
banana_444,Banana,131,Green,Spring,Ecuador
banana_445,Banana,143,Yellow,Fall,Costa Rica
banana_446,Banana,122,Yellow,Summer,Costa Rica
banana_447,Banana,122,Yellow,Summer,Spain
banana_448,Banana,135,Yellow,Summer,Brazil
banana_449,Banana,115,Brown,Spring,Costa Rica
banana_450,Banana,111,Yellow,Spring,Costa Rica
banana_451,Banana,115,Yellow,Spring,Costa Rica
banana_452,Banana,104,Yellow,Summer,Spain
banana_453,Banana,129,Green,Fall,Ecuador
banana_454,Banana,138,Yellow,Spring,Ecuador
banana_455,Banana,133,Green,Spring,Brazil
banana_456,Banana,144,Yellow,Summer,Ecuador
banana_457,Banana,108,Yellow,Summer,Turkey
banana_458,Banana,125,Yellow,Fall,Ecuador
banana_459,Banana,142,Yellow,Spring,Turkey
banana_460,Banana,111,Yellow,Spring,Brazil
banana_461,Banana,134,Brown,Summer,Costa Rica
banana_462,Banana,102,Yellow,Spring,Costa Rica
banana_463,Banana,120,Green,Summer,Ecuador
banana_464,Banana,113,Yellow,Summer,Ecuador
banana_465,Banana,124,Brown,Spring,Costa Rica
banana_466,Banana,100,Yellow,Summer,Costa Rica
banana_467,Banana,102,Yellow,Fall,Ecuador
banana_468,Banana,133,Brown,Fall,Costa Rica
banana_469,Banana,103,Yellow,Summer,Ecuador
banana_470,Banana,127,Yellow,Fall,Ecuador
banana_471,Banana,105,Yellow,Spring,Brazil
banana_472,Banana,122,Yellow,Summer,Costa Rica
banana_473,Banana,109,Yellow,Summer,Costa Rica
banana_474,Banana,130,Yellow,Spring,Costa Rica
banana_475,Banana,134,Yellow,Winter,Ecuador
banana_476,Banana,106,Yellow,Fall,Ecuador
banana_477,Banana,138,Yellow,Summer,Brazil
banana_478,Banana,128,Yellow,Summer,Ecuador
banana_479,Banana,136,Yellow,Spring,Brazil
banana_480,Banana,106,Green,Spring,Ecuador
banana_481,Banana,121,Yellow,Spring,Ecuador
banana_482,Banana,120,Brown,Summer,Ecuador
banana_483,Banana,138,Yellow,Summer,Costa Rica
banana_484,Banana,144,Yellow,Summer,Costa Rica
banana_485,Banana,135,Brown,Fall,Spain
banana_486,Banana,120,Yellow,Summer,Costa Rica
banana_487,Banana,103,Green,Summer,Brazil
banana_488,Banana,134,Green,Summer,Costa Rica
banana_489,Banana,120,Yellow,Summer,Brazil
banana_490,Banana,108,Brown,Summer,Ecuador
banana_491,Banana,132,Brown,Fall,Ecuador
banana_492,Banana,120,Green,Summer,Turkey
banana_493,Banana,121,Green,Spring,Brazil
banana_494,Banana,123,Yellow,Spring,Ecuador
banana_495,Banana,122,Green,Summer,Spain
banana_496,Banana,142,Yellow,Summer,Ecuador
banana_497,Banana,116,Yellow,Fall,Ecuador
banana_498,Banana,145,Brown,Fall,Brazil
banana_499,Banana,150,Brown,Winter,Turkey
banana_500,Banana,129,Yellow,Summer,Ecuador
banana_501,Banana,146,Green,Summer,Brazil
banana_502,Banana,139,Yellow,Winter,Ecuador
banana_503,Banana,148,Yellow,Summer,Ecuador
banana_504,Banana,124,Yellow,Summer,Ecuador
banana_505,Banana,120,Yellow,Summer,Spain
banana_506,Banana,112,Yellow,Spring,Ecuador
banana_507,Banana,133,Yellow,Fall,Costa Rica
banana_508,Banana,108,Yellow,Summer,Turkey
banana_509,Banana,124,Yellow,Spring,Brazil
banana_510,Banana,143,Yellow,Summer,Turkey
banana_511,Banana,134,Yellow,Fall,Costa Rica
banana_512,Banana,111,Yellow,Summer,Turkey
banana_513,Banana,120,Brown,Summer,Costa Rica
banana_514,Banana,122,Brown,Fall,Brazil
banana_515,Banana,142,Yellow,Summer,Brazil
banana_516,Banana,101,Yellow,Spring,Costa Rica
banana_517,Banana,130,Yellow,Fall,Costa Rica
banana_518,Banana,121,Yellow,Summer,Brazil
banana_519,Banana,118,Yellow,Spring,Brazil
banana_520,Banana,124,Yellow,Summer,Brazil
banana_521,Banana,115,Green,Summer,Brazil
banana_522,Banana,103,Green,Fall,Turkey
banana_523,Banana,142,Yellow,Spring,Costa Rica
banana_524,Banana,126,Yellow,Fall,Costa Rica
banana_525,Banana,135,Yellow,Summer,Costa Rica
banana_526,Banana,116,Yellow,Fall,Ecuador
banana_527,Banana,119,Yellow,Fall,Costa Rica
banana_528,Banana,118,Yellow,Summer,Brazil
banana_529,Banana,119,Brown,Summer,Brazil
banana_530,Banana,137,Green,Summer,Ecuador
banana_531,Banana,137,Yellow,Spring,Ecuador
banana_532,Banana,116,Yellow,Summer,Brazil
banana_533,Banana,123,Yellow,Spring,Costa Rica
banana_534,Banana,123,Yellow,Summer,Costa Rica
banana_535,Banana,118,Yellow,Fall,Ecuador
banana_536,Banana,144,Yellow,Summer,Ecuador
banana_537,Banana,135,Green,Winter,Ecuador
banana_538,Banana,148,Yellow,Spring,Ecuador
banana_539,Banana,127,Yellow,Summer,Ecuador
banana_540,Banana,144,Green,Winter,Turkey
banana_541,Banana,146,Yellow,Spring,Brazil
banana_542,Banana,110,Yellow,Spring,Costa Rica
banana_543,Banana,109,Green,Winter,Ecuador
banana_544,Banana,144,Yellow,Summer,Ecuador
banana_545,Banana,118,Yellow,Winter,Costa Rica
banana_546,Banana,128,Yellow,Spring,Turkey
banana_547,Banana,104,Yellow,Spring,Brazil
banana_548,Banana,138,Green,Spring,Ecuador
banana_549,Banana,105,Yellow,Spring,Costa Rica
