sample_id,category,weight,color,season,origin
banana_0065,banana,103.94,brown,spring,tropical
banana_0066,banana,474.31,white,autumn,imported
banana_0067,banana,283.46,orange,spring,local
banana_0068,banana,213.63,green,winter,local
banana_0069,banana,483.1,brown,summer,tropical
banana_0070,banana,273.76,orange,winter,tropical
banana_0071,banana,652.39,green,summer,local
banana_0072,banana,276.21,white,summer,local
banana_0073,banana,175.39,yellow,summer,imported
banana_0074,banana,157.8,yellow,winter,imported
banana_0075,banana,270.25,white,spring,local
banana_0076,banana,158.92,orange,winter,tropical
banana_0077,banana,392.73,orange,spring,local
banana_0078,banana,377.7,red,spring,local
banana_0079,banana,334.54,yellow,summer,tropical
banana_0080,banana,291.1,red,autumn,imported
banana_0081,banana,425.89,red,spring,tropical
banana_0082,banana,647.72,yellow,summer,local
banana_0083,banana,628.02,red,autumn,local
banana_0084,banana,151.92,green,winter,local
banana_0085,banana,128.46,orange,spring,local
banana_0086,banana,224.03,red,winter,imported
banana_0087,banana,111.88,red,winter,local
banana_0088,banana,101.06,red,summer,local
banana_0089,banana,444.8,white,summer,local
banana_0090,banana,346.99,green,winter,imported
banana_0091,banana,299.84,red,spring,local
banana_0092,banana,158.83,red,summer,local
banana_0093,banana,453.75,red,summer,imported
banana_0094,banana,334.9,brown,spring,imported
banana_0095,banana,207.14,red,spring,local
banana_0096,banana,453.7,green,autumn,local
banana_0097,banana,400.94,yellow,summer,tropical
banana_0098,banana,87.86,brown,summer,local
banana_0099,banana,454.35,orange,spring,tropical
banana_0100,banana,54.14,orange,winter,local
banana_0101,banana,540.2,orange,summer,local
banana_0102,banana,296.93,yellow,summer,tropical
banana_0103,banana,343.38,green,spring,local
banana_0104,banana,370.48,orange,winter,tropical
banana_0105,banana,196.43,orange,summer,tropical
banana_0106,banana,342.33,yellow,spring,tropical
banana_0107,banana,345.93,orange,autumn,imported
banana_0108,banana,92.15,green,autumn,local
banana_0109,banana,169.34,brown,spring,local
banana_0110,banana,487.85,white,autumn,imported
banana_0111,banana,451.42,brown,summer,local
banana_0112,banana,407.67,red,summer,local
banana_0113,banana,309.61,orange,winter,tropical
banana_0114,banana,137.86,brown,winter,imported
banana_0115,banana,661.37,yellow,winter,imported
banana_0116,banana,129.7,brown,winter,imported
banana_0117,banana,479.27,orange,autumn,tropical
banana_0118,banana,732.08,white,summer,tropical
banana_0119,banana,242.68,orange,autumn,tropical
banana_0120,banana,483.63,yellow,winter,imported
banana_0121,banana,182.5,yellow,summer,tropical
banana_0122,banana,433.01,orange,winter,imported
banana_0123,banana,126.27,brown,winter,tropical
banana_0124,banana,471.27,brown,winter,tropical
banana_0125,banana,306.53,white,autumn,tropical
banana_0126,banana,326.75,red,autumn,local
banana_0127,banana,113.04,yellow,spring,imported
banana_0128,banana,444.82,yellow,summer,imported
banana_0129,banana,363.66,green,autumn,local
banana_0130,banana,211.77,white,spring,tropical
banana_0131,banana,414.21,white,spring,tropical
banana_0132,banana,440.18,yellow,summer,local
banana_0133,banana,280.1,white,winter,tropical
banana_0134,banana,409.23,yellow,autumn,tropical
banana_0135,banana,365.89,orange,winter,imported
banana_0136,banana,450.5,green,summer,imported
banana_0137,banana,219.01,brown,summer,imported
banana_0138,banana,616.4,green,winter,tropical
banana_0139,banana,294.19,yellow,autumn,tropical
banana_0140,banana,509.34,red,winter,local
banana_0141,banana,420.17,green,winter,imported
banana_0142,banana,107.18,yellow,winter,tropical
banana_0143,banana,396.5,brown,spring,tropical
banana_0144,banana,330.3,white,winter,imported
banana_0145,banana,73.26,green,summer,imported
banana_0146,banana,293.29,yellow,spring,local
banana_0147,banana,376.74,green,spring,imported
banana_0148,banana,282.34,brown,winter,local
banana_0149,banana,407.83,yellow,winter,imported
banana_0150,banana,247.54,brown,autumn,local
banana_0151,banana,61.41,brown,autumn,tropical
banana_0152,banana,426.19,orange,spring,tropical
banana_0153,banana,234.03,orange,autumn,local
banana_0154,banana,120.4,yellow,autumn,local
banana_0155,banana,297.15,orange,autumn,local
banana_0156,banana,347.09,yellow,spring,imported
banana_0157,banana,479.69,white,autumn,imported
banana_0158,banana,299.46,orange,summer,imported
banana_0159,banana,238.82,orange,winter,imported
banana_0160,banana,210.19,yellow,spring,local
banana_0161,banana,56.48,orange,winter,imported
banana_0162,banana,713.87,red,summer,tropical
banana_0163,banana,366.65,brown,autumn,tropical
banana_0164,banana,94.03,yellow,autumn,tropical
banana_0165,banana,263.06,brown,spring,imported
banana_0166,banana,245.23,red,autumn,tropical
banana_0167,banana,327.13,green,winter,imported
banana_0168,banana,70.39,white,spring,tropical
banana_0169,banana,331.64,white,winter,tropical
banana_0170,banana,435.42,orange,autumn,imported
banana_0171,banana,123.32,orange,summer,imported
banana_0172,banana,646.44,brown,winter,imported
banana_0173,banana,473.1,orange,autumn,imported
banana_0174,banana,224.68,red,spring,tropical
banana_0175,banana,256.21,green,spring,tropical
banana_0176,banana,473.66,green,summer,imported
banana_0177,banana,482.54,orange,autumn,local
banana_0178,banana,138.11,green,autumn,local
banana_0179,banana,523.61,green,winter,local
banana_0180,banana,357.35,yellow,winter,imported
banana_0181,banana,193.54,orange,summer,imported
banana_0182,banana,60.47,red,winter,tropical
banana_0183,banana,176.83,white,spring,imported
banana_0184,banana,363.53,red,winter,local
banana_0185,banana,444.86,white,summer,local
banana_0186,banana,411.57,red,winter,local
banana_0187,banana,129.85,white,spring,local
banana_0188,banana,413.08,orange,winter,local
banana_0189,banana,235.68,red,winter,imported
banana_0190,banana,399.39,white,autumn,imported
banana_0191,banana,468.84,orange,spring,tropical
banana_0192,banana,243.05,red,winter,tropical
banana_0193,banana,389.54,red,spring,imported
banana_0194,banana,456.15,green,autumn,tropical
banana_0195,banana,421.91,red,winter,imported
banana_0196,banana,452.99,red,summer,tropical
banana_0197,banana,54.88,brown,winter,imported
banana_0198,banana,91.08,brown,autumn,tropical
banana_0199,banana,477.53,yellow,winter,local
banana_0200,banana,308.05,green,spring,tropical
banana_0201,banana,251.8,green,winter,local
banana_0202,banana,197.9,red,spring,imported
banana_0203,banana,388.57,orange,spring,imported
banana_0204,banana,405.33,yellow,winter,imported
banana_0205,banana,272.49,red,summer,tropical
banana_0206,banana,297.29,red,spring,local
banana_0207,banana,449.47,brown,autumn,imported
banana_0208,banana,102.68,red,winter,imported
banana_0209,banana,392.68,green,autumn,imported
banana_0210,banana,95.51,red,summer,imported
banana_0211,banana,365.44,brown,spring,tropical
banana_0212,banana,419.84,green,spring,local
banana_0213,banana,86.61,orange,summer,imported
banana_0214,banana,493.99,orange,summer,local
banana_0215,banana,216.79,white,spring,local
banana_0216,banana,476.26,red,winter,local
banana_0217,banana,389.02,brown,spring,imported
banana_0218,banana,87.58,green,spring,imported
banana_0219,banana,301.28,brown,spring,imported
banana_0220,banana,457.86,red,autumn,local
banana_0221,banana,617.17,red,summer,tropical
banana_0222,banana,75.34,orange,summer,imported
banana_0223,banana,102.89,green,summer,tropical
banana_0224,banana,385.72,yellow,summer,local
banana_0225,banana,482.98,green,summer,tropical
banana_0226,banana,178.57,green,winter,local
banana_0227,banana,150.62,red,summer,tropical
banana_0228,banana,55.47,green,spring,tropical
banana_0229,banana,69.42,brown,autumn,local
banana_0230,banana,287.47,orange,summer,local
banana_0231,banana,83.21,brown,summer,tropical
banana_0232,banana,486.19,yellow,autumn,tropical
banana_0233,banana,333.23,white,spring,imported
banana_0234,banana,254.54,white,winter,local
banana_0235,banana,312.94,orange,winter,local
banana_0236,banana,70.45,white,autumn,tropical
banana_0237,banana,477.69,orange,summer,tropical
banana_0238,banana,255.05,yellow,autumn,tropical
banana_0239,banana,174.82,red,autumn,local
banana_0240,banana,258.66,orange,autumn,local
banana_0241,banana,312.65,red,spring,local
banana_0242,banana,488.48,red,autumn,tropical
banana_0243,banana,364.17,red,winter,imported
banana_0244,banana,189.29,green,autumn,tropical
banana_0245,banana,358.13,orange,spring,imported
banana_0246,banana,459.92,red,autumn,imported
banana_0247,banana,477.41,green,summer,imported
banana_0248,banana,326.04,red,winter,imported
banana_0249,banana,469.73,orange,spring,imported
banana_0250,banana,594.12,yellow,spring,imported
banana_0251,banana,414.75,green,spring,local
banana_0252,banana,117.69,brown,autumn,imported
banana_0253,banana,221.4,brown,autumn,tropical
banana_0254,banana,428.95,yellow,winter,local
banana_0255,banana,260.91,green,spring,imported
banana_0256,banana,173.03,orange,winter,tropical
banana_0257,banana,439.13,red,spring,imported
banana_0258,banana,499.87,yellow,summer,imported
banana_0259,banana,299.94,green,spring,tropical
banana_0260,banana,475.14,green,autumn,tropical
banana_0261,banana,161.31,orange,autumn,imported
banana_0262,banana,108.12,orange,autumn,imported
banana_0263,banana,322.78,white,autumn,imported
banana_0264,banana,352.27,white,spring,imported
banana_0265,banana,211.17,brown,autumn,local
banana_0266,banana,352.21,yellow,winter,imported
banana_0267,banana,397.54,yellow,winter,local
banana_0268,banana,433.48,green,spring,imported
banana_0269,banana,302.42,white,autumn,local
banana_0270,banana,231.57,green,autumn,local
banana_0271,banana,62.95,brown,winter,imported
banana_0272,banana,329.14,yellow,winter,imported
banana_0273,banana,145.83,yellow,summer,tropical
banana_0274,banana,56.55,brown,winter,tropical
banana_0275,banana,315.46,red,summer,local
banana_0276,banana,246.86,orange,autumn,imported
banana_0277,banana,206.71,red,spring,imported
banana_0278,banana,402.64,green,summer,imported
banana_0279,banana,329.94,red,summer,local
banana_0280,banana,477.28,red,spring,local
banana_0281,banana,466.96,orange,summer,local
banana_0282,banana,166.21,green,autumn,local
banana_0283,banana,491.01,green,summer,tropical
banana_0284,banana,197.94,red,winter,tropical
banana_0285,banana,158.07,red,spring,imported
banana_0286,banana,108.0,brown,spring,imported
banana_0287,banana,118.36,orange,summer,tropical
banana_0288,banana,338.39,white,summer,local
banana_0289,banana,205.55,white,winter,imported
banana_0290,banana,263.28,white,summer,local
banana_0291,banana,127.54,green,winter,tropical
banana_0292,banana,68.39,yellow,winter,local
banana_0293,banana,175.37,red,spring,tropical
banana_0294,banana,89.92,orange,spring,imported
banana_0295,banana,257.35,yellow,winter,imported
banana_0296,banana,213.92,white,autumn,tropical
banana_0297,banana,699.85,red,summer,tropical
banana_0298,banana,332.56,green,autumn,tropical
banana_0299,banana,443.11,orange,winter,imported
banana_0300,banana,77.49,yellow,winter,tropical
banana_0301,banana,412.79,green,autumn,local
banana_0302,banana,133.03,yellow,summer,local
banana_0303,banana,216.71,brown,autumn,imported
banana_0304,banana,328.21,yellow,spring,tropical
banana_0305,banana,258.14,brown,spring,imported
banana_0306,banana,66.51,orange,spring,imported
banana_0307,banana,371.01,yellow,summer,imported
banana_0308,banana,280.25,white,autumn,tropical
banana_0309,banana,98.23,brown,summer,local
banana_0310,banana,289.68,green,summer,tropical
banana_0311,banana,171.16,brown,summer,local
banana_0312,banana,59.03,red,spring,imported
banana_0313,banana,145.15,green,spring,tropical
banana_0314,banana,103.89,red,summer,imported
banana_0315,banana,317.12,brown,spring,imported
banana_0316,banana,405.13,brown,summer,local
banana_0317,banana,89.11,brown,spring,tropical
banana_0318,banana,314.08,red,autumn,tropical
banana_0319,banana,244.25,red,summer,imported
banana_0320,banana,177.7,yellow,autumn,imported
banana_0321,banana,340.66,brown,summer,imported
banana_0322,banana,210.24,orange,summer,tropical
banana_0323,banana,322.6,orange,spring,imported
banana_0324,banana,95.8,yellow,winter,tropical
banana_0325,banana,160.68,brown,spring,tropical
banana_0326,banana,133.96,red,summer,local
banana_0327,banana,128.02,brown,winter,imported
banana_0328,banana,86.11,red,spring,local
banana_0329,banana,234.68,yellow,winter,tropical
banana_0330,banana,100.42,green,autumn,tropical
banana_0331,banana,486.26,yellow,spring,local
banana_0332,banana,417.68,green,summer,imported
banana_0333,banana,126.9,yellow,winter,imported
banana_0334,banana,468.22,white,autumn,tropical
banana_0335,banana,307.23,white,autumn,imported
banana_0336,banana,396.27,red,spring,local
banana_0337,banana,195.66,red,winter,imported
banana_0338,banana,278.42,green,winter,local
banana_0339,banana,101.68,brown,spring,imported
banana_0340,banana,179.88,orange,autumn,local
banana_0341,banana,119.46,brown,autumn,tropical
banana_0342,banana,289.67,orange,spring,local
banana_0343,banana,201.47,red,spring,imported
banana_0344,banana,78.52,brown,spring,imported
banana_0345,banana,195.06,brown,winter,tropical
banana_0346,banana,164.59,green,spring,local
banana_0347,banana,392.1,red,summer,imported
banana_0348,banana,262.21,white,spring,tropical
banana_0349,banana,206.99,red,spring,tropical
banana_0350,banana,423.78,white,winter,imported
banana_0351,banana,105.93,yellow,winter,tropical
banana_0352,banana,472.25,orange,autumn,local
banana_0353,banana,79.92,red,summer,tropical
banana_0354,banana,308.51,red,summer,tropical
banana_0355,banana,112.9,green,spring,tropical
banana_0356,banana,140.73,green,summer,imported
banana_0357,banana,123.92,brown,autumn,tropical
banana_0358,banana,349.34,white,spring,tropical
banana_0359,banana,211.47,yellow,autumn,tropical
banana_0360,banana,226.6,orange,spring,imported
banana_0361,banana,247.61,white,spring,tropical
banana_0362,banana,258.21,yellow,summer,local
banana_0363,banana,386.42,white,autumn,local
banana_0364,banana,154.5,white,summer,imported
banana_0365,banana,222.75,yellow,summer,imported
banana_0366,banana,457.91,green,autumn,local
banana_0367,banana,102.6,yellow,autumn,local
banana_0368,banana,332.47,brown,autumn,imported
banana_0369,banana,112.67,red,winter,local
banana_0370,banana,329.03,orange,spring,tropical
banana_0371,banana,452.25,white,winter,local
banana_0372,banana,118.25,green,summer,tropical
banana_0373,banana,161.82,red,winter,imported
banana_0374,banana,65.09,orange,winter,local
banana_0375,banana,393.11,red,autumn,imported
banana_0376,banana,203.94,brown,summer,imported
banana_0377,banana,99.78,brown,winter,local
banana_0378,banana,107.37,red,autumn,tropical
banana_0379,banana,408.78,brown,spring,tropical
banana_0380,banana,153.16,brown,spring,imported
banana_0381,banana,374.02,green,spring,imported
banana_0382,banana,362.28,yellow,winter,imported
banana_0383,banana,163.31,orange,autumn,tropical
banana_0384,banana,131.72,brown,autumn,local
banana_0385,banana,312.53,white,spring,imported
banana_0386,banana,257.9,yellow,summer,tropical
banana_0387,banana,119.01,white,spring,imported
banana_0388,banana,277.65,green,autumn,local
banana_0389,banana,58.15,white,winter,tropical
banana_0390,banana,469.45,brown,winter,tropical
banana_0391,banana,363.49,yellow,summer,imported
banana_0392,banana,368.26,red,summer,tropical
banana_0393,banana,309.33,brown,winter,local
banana_0394,banana,240.86,brown,autumn,tropical
banana_0395,banana,470.47,red,winter,local
banana_0396,banana,252.88,green,autumn,tropical
banana_0397,banana,493.18,orange,autumn,local
banana_0398,banana,106.1,brown,spring,imported
banana_0399,banana,441.45,white,autumn,local
banana_0400,banana,316.07,red,summer,local
banana_0401,banana,74.64,green,spring,tropical
banana_0402,banana,583.37,brown,summer,imported
banana_0403,banana,229.18,yellow,autumn,tropical
banana_0404,banana,463.94,yellow,spring,imported
banana_0405,banana,206.13,white,autumn,tropical
banana_0406,banana,253.5,red,autumn,local
banana_0407,banana,253.6,white,winter,imported
banana_0408,banana,129.37,yellow,autumn,tropical
banana_0409,banana,238.52,green,summer,tropical
banana_0410,banana,213.08,red,autumn,tropical
banana_0411,banana,665.88,red,summer,local
banana_0412,banana,130.12,yellow,summer,imported
banana_0413,banana,116.9,red,summer,local
banana_0414,banana,88.41,green,winter,imported
banana_0415,banana,275.99,red,autumn,tropical
banana_0416,banana,80.18,white,spring,tropical
banana_0417,banana,144.46,white,winter,imported
banana_0418,banana,142.31,white,summer,imported
banana_0419,banana,66.45,orange,spring,imported
banana_0420,banana,304.18,yellow,autumn,local
banana_0421,banana,398.99,red,spring,local
banana_0422,banana,285.98,brown,summer,tropical
banana_0423,banana,230.34,brown,autumn,local
banana_0424,banana,119.86,red,autumn,local
banana_0425,banana,437.8,yellow,spring,local
banana_0426,banana,217.99,white,winter,tropical
banana_0427,banana,339.8,white,summer,local
banana_0428,banana,61.42,brown,winter,local
banana_0429,banana,372.19,orange,winter,local
banana_0430,banana,62.19,orange,winter,tropical
banana_0431,banana,153.98,green,winter,imported
banana_0432,banana,58.87,green,summer,imported
banana_0433,banana,409.96,green,winter,tropical
banana_0434,banana,343.74,brown,winter,local
banana_0435,banana,94.75,white,summer,local
banana_0436,banana,375.02,yellow,autumn,local
banana_0437,banana,423.6,orange,autumn,local
banana_0438,banana,350.64,green,autumn,local
banana_0439,banana,181.92,green,spring,tropical
banana_0440,banana,55.85,yellow,summer,imported
banana_0441,banana,545.36,red,autumn,tropical
banana_0442,banana,312.37,orange,summer,imported
banana_0443,banana,451.7,orange,winter,tropical
banana_0444,banana,203.82,yellow,autumn,imported
banana_0445,banana,220.86,white,summer,local
banana_0446,banana,170.63,red,spring,imported
banana_0447,banana,234.24,white,summer,imported
banana_0448,banana,246.26,white,spring,local
banana_0449,banana,476.8,yellow,autumn,tropical
banana_0450,banana,113.05,green,summer,local
banana_0451,banana,269.34,brown,autumn,imported
banana_0452,banana,409.93,orange,autumn,imported
banana_0453,banana,60.11,orange,spring,local
banana_0454,banana,293.74,white,summer,tropical
banana_0455,banana,166.05,white,winter,imported
banana_0456,banana,425.72,red,winter,imported
banana_0457,banana,286.56,brown,spring,imported
banana_0458,banana,728.57,red,summer,imported
banana_0459,banana,102.99,red,autumn,tropical
banana_0460,banana,173.32,brown,autumn,local
banana_0461,banana,343.14,white,spring,local
banana_0462,banana,534.22,yellow,summer,local
banana_0463,banana,455.01,red,summer,tropical
banana_0464,banana,318.84,white,autumn,local
banana_0465,banana,349.27,orange,summer,tropical
banana_0466,banana,461.49,orange,autumn,tropical
banana_0467,banana,222.41,yellow,spring,imported
banana_0468,banana,71.13,white,spring,tropical
banana_0469,banana,382.12,yellow,autumn,tropical
banana_0470,banana,321.42,brown,autumn,local
banana_0471,banana,225.18,orange,winter,local
banana_0472,banana,210.05,white,spring,local
banana_0473,banana,183.7,yellow,autumn,tropical
banana_0474,banana,264.22,brown,summer,imported
banana_0475,banana,471.57,orange,winter,imported
banana_0476,banana,565.57,orange,summer,tropical
banana_0477,banana,317.79,white,autumn,local
banana_0478,banana,273.36,green,autumn,tropical
banana_0479,banana,200.41,brown,autumn,imported
banana_0480,banana,97.97,yellow,winter,local
banana_0481,banana,377.68,orange,spring,local
banana_0482,banana,359.78,green,summer,local
banana_0483,banana,160.88,white,winter,imported
banana_0484,banana,409.74,red,spring,imported
banana_0485,banana,172.47,green,autumn,imported
banana_0486,banana,212.44,white,autumn,tropical
banana_0487,banana,462.79,orange,summer,local
banana_0488,banana,477.61,green,winter,tropical
banana_0489,banana,133.31,yellow,summer,imported
banana_0490,banana,442.83,red,spring,imported
banana_0491,banana,412.95,orange,spring,imported
banana_0492,banana,361.52,brown,winter,tropical
banana_0493,banana,162.35,yellow,autumn,imported
banana_0494,banana,149.54,yellow,autumn,tropical
banana_0495,banana,676.39,white,spring,tropical
banana_0496,banana,466.36,white,autumn,local
banana_0497,banana,305.58,green,spring,tropical
banana_0498,banana,65.28,yellow,summer,local
banana_0499,banana,183.81,brown,winter,local
banana_0500,banana,486.98,brown,autumn,imported
banana_0501,banana,263.4,yellow,summer,imported
banana_0502,banana,430.05,white,spring,local
banana_0503,banana,649.07,green,spring,tropical
banana_0504,banana,153.5,white,winter,tropical
banana_0505,banana,84.63,orange,autumn,local
banana_0506,banana,202.94,red,summer,imported
banana_0507,banana,79.41,yellow,spring,local
banana_0508,banana,292.77,brown,spring,tropical
banana_0509,banana,193.44,red,spring,imported
banana_0510,banana,448.69,yellow,spring,local
banana_0511,banana,717.52,brown,winter,tropical
banana_0512,banana,59.57,red,autumn,local
banana_0513,banana,288.02,red,summer,local
banana_0514,banana,409.45,red,spring,tropical
banana_0515,banana,207.82,yellow,spring,imported
banana_0516,banana,230.87,white,autumn,local
banana_0517,banana,332.38,brown,winter,local
banana_0518,banana,492.84,orange,summer,tropical
banana_0519,banana,238.0,orange,winter,imported
banana_0520,banana,381.91,brown,winter,local
banana_0521,banana,99.71,yellow,winter,imported
banana_0522,banana,179.26,green,winter,tropical
banana_0523,banana,504.47,green,summer,local
banana_0524,banana,494.48,white,spring,imported
banana_0525,banana,222.95,orange,spring,tropical
banana_0526,banana,148.21,orange,autumn,tropical
banana_0527,banana,403.86,brown,winter,imported
banana_0528,banana,237.91,yellow,spring,imported
banana_0529,banana,475.13,white,autumn,imported
banana_0530,banana,326.04,orange,summer,imported
banana_0531,banana,496.03,orange,summer,imported
banana_0532,banana,474.23,red,spring,local
banana_0533,banana,323.48,yellow,autumn,imported
banana_0534,banana,153.8,yellow,summer,tropical
banana_0535,banana,149.22,orange,spring,imported
banana_0536,banana,400.81,orange,summer,imported
banana_0537,banana,76.03,orange,winter,imported
banana_0538,banana,447.7,orange,spring,tropical
banana_0539,banana,497.71,green,summer,imported
banana_0540,banana,228.31,yellow,autumn,tropical
banana_0541,banana,363.21,yellow,winter,local
banana_0542,banana,417.12,green,spring,imported
banana_0543,banana,150.72,orange,winter,imported
banana_0544,banana,316.82,brown,autumn,imported
banana_0545,banana,91.17,red,autumn,tropical
banana_0546,banana,169.52,orange,summer,tropical
banana_0547,banana,449.94,white,autumn,local
banana_0548,banana,437.96,brown,summer,tropical
banana_0549,banana,344.86,white,spring,imported
banana_0550,banana,89.14,brown,winter,imported
banana_0551,banana,217.71,yellow,winter,imported
banana_0552,banana,375.54,brown,spring,local
banana_0553,banana,86.47,orange,summer,imported
banana_0554,banana,357.47,orange,spring,tropical
banana_0555,banana,433.04,brown,winter,tropical
banana_0556,banana,266.26,white,summer,tropical
banana_0557,banana,421.11,white,spring,tropical
banana_0558,banana,355.11,brown,summer,imported
banana_0559,banana,170.16,brown,winter,local
banana_0560,banana,408.84,brown,spring,local
banana_0561,banana,432.76,green,winter,local
banana_0562,banana,368.76,yellow,autumn,local
banana_0563,banana,363.86,orange,summer,tropical
banana_0564,banana,328.38,brown,winter,tropical
banana_0565,banana,121.37,red,winter,local
banana_0566,banana,706.45,green,winter,tropical
banana_0567,banana,107.99,red,summer,imported
banana_0568,banana,384.58,brown,winter,imported
banana_0569,banana,418.09,orange,autumn,tropical
banana_0570,banana,571.76,red,winter,tropical
banana_0571,banana,327.62,green,autumn,imported
banana_0572,banana,334.32,green,autumn,tropical
banana_0573,banana,335.3,orange,spring,imported
banana_0574,banana,400.93,brown,spring,tropical
banana_0575,banana,392.46,orange,spring,local
banana_0576,banana,483.35,green,winter,imported
banana_0577,banana,334.68,yellow,spring,imported
banana_0578,banana,96.13,orange,summer,tropical
banana_0579,banana,359.55,orange,summer,imported
banana_0580,banana,185.43,yellow,winter,imported
banana_0581,banana,80.31,red,winter,imported
banana_0582,banana,205.65,yellow,winter,imported
banana_0583,banana,70.58,brown,summer,imported
banana_0584,banana,488.07,yellow,spring,tropical
banana_0585,banana,387.34,brown,winter,imported
banana_0586,banana,505.53,yellow,autumn,local
banana_0587,banana,195.62,yellow,autumn,local
banana_0588,banana,396.68,white,autumn,local
banana_0589,banana,250.66,green,summer,imported
banana_0590,banana,498.71,red,winter,tropical
banana_0591,banana,253.12,red,spring,tropical
banana_0592,banana,407.66,yellow,summer,local
banana_0593,banana,149.35,brown,winter,local
banana_0594,banana,356.22,orange,spring,local
banana_0595,banana,172.97,brown,winter,imported
banana_0596,banana,117.98,yellow,summer,local
banana_0597,banana,474.63,red,spring,local
banana_0598,banana,337.34,yellow,spring,tropical
banana_0599,banana,173.4,orange,summer,tropical
tomato_0000,tomato,234.2,orange,winter,tropical
tomato_0001,tomato,153.48,green,autumn,imported
tomato_0002,tomato,64.01,yellow,autumn,local
tomato_0003,tomato,215.84,orange,spring,local
tomato_0004,tomato,262.94,white,summer,tropical
tomato_0005,tomato,133.49,brown,summer,tropical
tomato_0006,tomato,399.47,orange,summer,imported
tomato_0007,tomato,430.15,red,summer,tropical
tomato_0008,tomato,331.8,red,autumn,imported
tomato_0009,tomato,64.64,white,summer,imported
tomato_0010,tomato,327.49,yellow,autumn,local
tomato_0011,tomato,266.69,white,summer,tropical
tomato_0012,tomato,106.33,white,autumn,local
tomato_0013,tomato,243.64,yellow,autumn,tropical
tomato_0014,tomato,271.22,brown,winter,tropical
tomato_0015,tomato,311.89,red,spring,tropical
tomato_0016,tomato,408.9,green,winter,local
tomato_0017,tomato,518.11,white,spring,local
tomato_0018,tomato,226.62,brown,winter,local
tomato_0019,tomato,320.01,green,summer,imported
tomato_0020,tomato,362.74,brown,spring,tropical
tomato_0021,tomato,620.13,red,autumn,local
tomato_0022,tomato,97.22,white,winter,imported
tomato_0023,tomato,494.0,brown,summer,tropical
tomato_0024,tomato,274.5,brown,autumn,local
tomato_0025,tomato,366.11,brown,spring,imported
tomato_0026,tomato,54.4,white,spring,imported
tomato_0027,tomato,282.97,brown,winter,imported
tomato_0028,tomato,519.64,white,spring,imported
tomato_0029,tomato,228.62,orange,autumn,local
tomato_0030,tomato,305.39,white,spring,local
tomato_0031,tomato,410.26,red,winter,tropical
tomato_0032,tomato,125.37,brown,autumn,local
